,id,pts,offset
St Felix Ave & 61 St-Wyckoff Ave & Gates Ave,364,2,728
St Felix Ave & 61 St-Forest Ave & Summerfield St,365,2,730
St Felix Ave & 61 St-Seneca Ave & Decatur St,366,2,732
St Felix Ave & 61 St-Summerfield St & Cypress Ave,367,2,734
Broadway & W 53 St-W 53 St & 10 Ave,368,2,736
Broadway & W 53 St-W 54 St & 11 Ave,369,2,738
Broadway & W 53 St-Broadway & W 51 St,370,2,740
Broadway & W 53 St-W 44 St & 5 Ave,371,2,742
Broadway & W 53 St-Broadway & W 58 St,372,2,744
Broadway & W 53 St-Broadway & W 48 St,373,2,746
Broadway & W 53 St-Broadway & W 56 St,374,2,748
Broadway & W 53 St-Broadway & W 41 St,375,2,750
Broadway & W 53 St-Madison Av & E 51 St,376,2,752
Broadway & W 53 St-E 41 St & Madison Ave (SE corner),377,2,754
Bayard St & Leonard St-Driggs Ave & N 9 St,378,2,756
Bayard St & Leonard St-Wythe Ave & Metropolitan Ave,379,2,758
Bayard St & Leonard St-Kent Ave & N 7 St,380,2,760
Bayard St & Leonard St-Leonard St & Maujer St,381,2,762
Bayard St & Leonard St-N 6 St & Bedford Ave,382,2,764
Bayard St & Leonard St-Berry St & N 8 St,383,2,766
Bayard St & Leonard St-Metropolitan Ave & Bedford Ave,384,2,768
Bayard St & Leonard St-Graham Ave & Conselyea St,385,2,770
Bayard St & Leonard St-Scholes St & Manhattan Ave,386,2,772
Bayard St & Leonard St-Union Ave & N 12 St,387,2,774
Columbia Heights & Cranberry St-Clark St & Henry St,388,2,776
Columbia Heights & Cranberry St-Court St & State St,389,2,778
Columbia Heights & Cranberry St-Hicks St & Montague St,390,2,780
Columbia Heights & Cranberry St-Front St & Jay St,391,2,782
Columbia Heights & Cranberry St-Henry St & Atlantic Ave,392,2,784
Columbia Heights & Cranberry St-Henry St & Remsen St,393,2,786
Columbia Heights & Cranberry St-Henry St & Middagh St,394,2,788
Columbia Heights & Cranberry St-Atlantic Ave & Furman St,395,2,790
Columbia Heights & Cranberry St-Lawrence St & Willoughby St,396,2,792
Columbia Heights & Cranberry St-Montague St & Clinton St,397,2,794
Madison St & Seneca Ave-Wyckoff Ave & Gates Ave,398,2,796
Madison St & Seneca Ave-Wyckoff Av & Stanhope St,399,2,798
Madison St & Seneca Ave-Madison St & Cypress Ave,400,2,800
Madison St & Seneca Ave-Menahan St & Seneca Ave,401,2,802
Madison St & Seneca Ave-Willoughby Ave & Wyckoff Ave,402,2,804
Madison St & Seneca Ave-Norman St & Wyckoff Ave,403,2,806
Madison St & Seneca Ave-Bleecker St & Forest Ave,404,2,808
Madison St & Seneca Ave-Onderdonk Ave & Gates Ave,405,2,810
Madison St & Seneca Ave-Scholes St & Manhattan Ave,406,2,812
